scrape_datetime,jk,job_title,company,job_location,post_datetime,job_description
2017-12-14 09:04:20.194360,da3aa520ecd7ec79,Data Scientist @ T1,Terminal 1,Hong Kong,10 days ago,"Job Summary!! Apply at: tty1.us/tty1-indeed !!We are Terminal 1 , a recruiting technology firm that hires software builders to both recruit and build automated recruitment tools. Our recruiters are highly skilled software engineers, product designers, and data scientists with strong technical skills and a network in their industry.As a Data Scientist you will be responsible for analytics pipeline from data extraction and processing to model creation and result visualization. You would work on candidate-employee matching algorithms, feature engineering and actionable insights generation.You’ll be working closely with our engineering and product teams to ensure quality of the product and system reliability.Hard Requirements:Hands on experience with machine learning models using Python or R .Experience with one of the following tools: XGboost , Torch7 , Tensorflow .Data visualization skills: Tableau , ggplot , plotly , d3.jsBachelor degree in Computer Science, Mathematics, Engineering or Physics.Fluency in English - you’re going to be in an international and global team.Kaggle Expert rank or above.Soft Requirements:Good theoretical knowledge of algorithms, statistics and optimization methods.A positive attitude and good cultural fit with our team.Experience with distributed infrastructure tools: Apache Spark and one of Hive, Drill or HawkAn awesome portfolio or track record in Github. We do not care about previous experience, as long as you can show us what you can do.!! Apply at: tty1.us/tty1-indeed !!Job Type: Full-time"
2017-12-14 09:04:20.336976,3ce4726440030fe1,Data Scientist,Hang Seng Bank,Hong Kong,30+ days ago,"Digital Banking
"
2017-12-14 09:04:20.499726,00e674cd0b97b165,"Data Scientist in Big Data Technologies, Advanced Business A...",BASF Asia Pacific,Hong Kong,30+ days ago,"Job Field: Information Technology/Service
Location: Hong Kong, HK
Company: BASF Asia Pacific
Job Type: Experienced
Job ID: EN_HK_24826

We are the world's leading chemical company because we offer intelligent solutions for our customers and for a sustainable future. We have over 110,000 employees connecting around the world. For you, this means an almost unlimited range of job opportunities, career development and lots of potential to continue learning . At BASF we believe strongly in the power of connected minds.
Description
Located in Hong Kong, BASF’s regional headquarters oversees more than 16,000 employees at about 100 sites across Asia Pacific. In addition to regional business units, Hong Kong office also houses regional functional units including Corporate Affairs, Finance and Controlling, Human Resources, Management Consulting, Procurement and Supply Chain Services. Objectives of the Position
As a data scientist with strong background in analytics-relevant information technology, the incumbent will:
act as an internal software developer in business and data analytics
be responsible for leading, executing and coordinating innovative data analytics projects and establishing sustainable IT solutions including data modelling and user interface creation
communicate the ideas and solutions to a broad community of non-data scientists Job Responsibilities
Initiate and drive new and ground-breaking development of customized business and data analytics solutions with the highest technical standards and liaise within the Advanced Business Analytics team and the global BASF community
Transfer innovative solutions from a piloting phase into a sustainable and scalable software solution for global and cross-business usage
Liaise with internal business and corporate units and translate their analytical needs into initiatives
Mentor and coach other team members and support their functions by providing expertise and insights into data and computer science Requirements
Holder of Master degree in Computer Science, Data Science, Information Systems; or Bachelor degree with additional years of relevant work experience in the industrial sector
3 to 5 years working experience with databases and SQL, SAP applications and analytics tools like SAP HANA, data warehousing, data management and Big Data technologies as well as lifecycle management of software solutions. Be able to write production-level code
Have a deep understanding of one or more of the following areas: Hadoop (HDFS, MapReduce, Hive, Yarn, Flume, Storm), Spark, Kafka, ActiveMQ
Have superior understanding of internal and external data needs in industrial business processes
Experienced in working in a diverse and global team, with a consultancy and result-oriented mindset, and enjoy working in a newly set-up team
Be able to communicate ideas and solutions to stakeholders of non-data science experts
Be creative and motivated team player with strong communication and presentation skills in English. Mandarin is a plus.
Be willing to travel up to 10%"
2017-12-14 09:04:39.792669,ec82009eb026aba4,Data Scientist / Computational Scientist,Cluster Technology Limited,Hong Kong,,"ClusterTech Limited is committed to providing value to clients through advanced computing technologies including Cloud, High Performance Computing, Big Data and Heterogeneous Computing. We provide a comprehensive range of services and products to solve problems in massive data processing, large-scale computing, in-depth analysis, artificial intelligence, and uninterrupted service. Our business areas include financial engineering (investment analysis, risk management, derivatives pricing, etc.), business intelligence (sales forecasting, customer management, inventory management, etc.), environmental science (weather forecast, heavy rain and turbulence forecasting, analysis and prediction of pollution, etc.), smart city (information gathering, information analysis, optimisation and management), and internet applications (massive image processing, video storage and delivery). We also provide public cloud, private cloud and hybrid cloud solutions for businesses of all sizes."
2017-12-14 09:04:38.276482,9d0ba18b62dfd786,Data Scientist / Data Analyst,GoGo Van,Hong Kong,,"What you'll be doing:
Create key insights and recommendations through quantitative analysis.

Develop tools for tracking, analyzing and reporting data from multiple sources and for diverse business needs.

Provide recommendations to the management and product team.

Build automated models and visualizations tools to uncover patterns, optimize service offering and improve business model.

Guide, oversee and interpret experiments.

What we're looking for:
Prior experience working with data.

Strong quantitative or engineering background.

Ability to code (preferably Python).

Good knowledge of SQL.

Familiarity with tools and libraries for data analysis.

Fast learner, enjoying solving problems using cutting edge technology.

Good communication skills.

Awesome if you have those:
Interest in logistics problems and geographic data.

Experience in machine learning or operational research.

Data visualization (knowledge of Javascript and libraries like d3.js is an advantage).

Ready to be part of the team? Apply for this position by submitting your CV to [email redacted, apply via Jobable]

GOGOVAN does not accept unsolicited resumes, CVs or applications from third party staffing or recruitment agencies. All unsolicited submissions will be considered free referrals."
2017-12-14 09:04:21.695133,ab794b2879313f04,Junior Data Scientist,ESD Services Limited (ESDlife),"Hung Hom, Kowloon",19 days ago,"You will:
"
2017-12-14 09:04:21.826108,96559f237e185481,Data Scientist - Retail Banking and Wealth Management,HSBC,"Central, Hong Kong Island",23 days ago,"Some careers open more doors than others.
"
2017-12-14 09:04:21.979081,9bf4b13e206e7fb4,"Associate/Analyst, Data Analytics, Audit",DBS Bank,Hong Kong,9 days ago,"DBS. Living, Breathing Asia.
"
2017-12-14 09:04:22.114233,ed6405453ccde459,Data Scientist,Swiss Re,Hong Kong,30+ days ago,"We are seeking for a motivated Data Scientist who has a passion for technology to join our highly skilled global team. You will contribute in establishing and developing analytics services in Swiss Re's APAC region - focusing in modelling and prototyping - in tight collaboration with internal business experts and clients. The ideal candidate has a solid background in computer science/engineering, computational linguistics or information science and possesses working experience in at least one (and ideally a combination) of the following domains: data & text mining, machine learning and information visualisation. Key Tasks • Apply analytical methods and algorithms to build data products that streamline the process from data collection to insight generation. • Foster new data-driven approaches to generate business insight in order to address unanswered business problems in a proactive way. • Validate, interpret and present data findings to both an expert and non-expert audience. • Assess analytics scenarios by means of functional prototypes or pilot solutions. • Contribute in an agile team of data scientists to deploy data-driven solutions for various Insurance and Reinsurance business opportunities (i.e., ad-hoc analysis request as well as business projects). • Build-up sustainable relationship with key business experts & clients as well as IT professionals to become a trusted partner for the field of data analytics.


About the team


The Digital & Smart Analytics unit supports Swiss Re's business functions in generating insights from structured and unstructured data for their business and strategic initiatives (e.g., Product Development, InsureTech, Accelerators, Digital Analytics Catalyst). A team of professionals in data & text mining and visual analytics provide services in three key areas: • Analytics Consulting: In collaboration with business teams identifying the relevant business opportunities and defining the business case. • Analytics Delivery (Modelling & Prototyping): Defining the most appropriate analytics method and data. Validating analytics scenarios by means of prototypes or pilot solutions. • Analytics Solution Enabling: Implementing, enhancing and maintaining analytics solutions to solve business issues


About You


Essentials • Master Study/PhD (completed or near completion) in computer science, computational linguistics or information science (or equivalent). • Knowledge and experience in the area of information retrieval, natural language processing, data analytics and information visualisation. • Sound analytical & conceptual skills to understand key business needs and apply existing and novel analytics solutions to solve specific business problems. • Good knowledge in a combination of analytic, scripting and visualisation tools for the integrated analysis of transactional, text, speech and behavioural data. • Advanced experience with statistical computing languages such as R, Matlab, SAS, SPSS. • Knowledgeable in at least one programming language such as Python, R, Java. • Experience in relational databases/SQL • Good experience with large data sets and distributed computing (Spark/Hadoop) is a plus. • Excellent verbal and written English skills, ideally multi-lingual (Mandarin is a plus). Behavioural Competences • Team player with a 'can do' attitude"
2017-12-14 09:04:22.230663,e80333fa0cadd0c9,Developer - Data Scientist,WHub,Hong Kong,30+ days ago,"Full time

Hong Kong

Developer

starting date : 2017-11-06

Terminal 1 might be able to provide a visa.

Description

We are Terminal 1 , a recruitment firm that hires software builders to both recruit and build automated recruitment tools. Our recruiters are highly skilled software engineers, product designers, data scientists, accountants, and lawyers with strong technical skills and a network in their industry.

As a Data Scientist you will be responsible for analytics pipeline from data extraction and processing to model creation and result visualization. You would work on candidate-employee matching algorithms, feature engineering and actionable insights generation.

You’ll be working closely with our engineering and product teams to ensure quality of the product and system reliability.

Requirements
Hands on experience with machine learning models using Python or R.
Good theoretical knowledge of algorithms, statistics and optimization methods.
Experience with one of the following tools: XGboost, Torch7, Tensorflow.
Data visualization skills: Tableau, ggplot, plotly, d3.js
Bachelor degree in Computer Science, Mathematics, Engineering or Physics.
Fluency in English - you’re going to be in an international and global team.
A positive attitude and good cultural fit with our team.
Additional qualification
Kaggle Expert rank or above.
Experience with distributed infrastructure tools: Apache Spark and one of Hive, Drill or Hawk
An awesome portfolio or track record in Github. We do not care about previous experience, as long as you can show us what you can do.

Salary

Equity part is negotiable.

Salary range / month : HK$ 20k-40k

WHubber factors

Startups have different perks to offer to talent. Here is their allocation of 100 points.

Flexible Role and Responsibility

Impact on Society

Compensation

Flexible hours

Flexible location

Flexible Role and Responsability20

Created on: 2017/11/03

about Terminal 1"
2017-12-14 09:04:22.379619,297752a76b52a495,Data Scientist / Senior Data Scientist,Lynx Analytics,Hong Kong,7 days ago,"Lynx is looking for experienced Data Scientists to work on and lead complex data analysis projects using standard modelling and data transformation approaches as well as Lynx's proprietary graph analysis system. You should be comfortable working with very large data sets residing in different data stores in disparate formats. The role requires the candidate to be strong with hands-on implementation as well have the potential to move fast onto a high growth career trajectory.


​


Requirements:

Industry experience in data mining and/or data science (5+ years),


University degree in a technical field (Mathematics, Statistics, Economics, Computer Science or Engineering)


Strong probability theory and statistics knowledge


Knowledge of some statistical tools (SAS/SPSS/Clementine)


Ability to write programs in some programming language (e.g. R/Python) - software engineer skills to design and implement complex software systems is NOT needed, but the candidate is expected to be able to write simple code to prototype and test analytical ideas


Good problem-solving skills


Knowledge of RDBMS systems (Oracle, Teradata, MySQL etc.)


Excellent verbal and written communication skills


Some leadership experience


Fluent in English


Willingness to travel


​


Desirable:

Experience in Big Data


Knowledge of Telecommunications domain


Knowledge of Financial Services domain


Knowledge/experience in graph theory


​


What we offer:

Opportunity to work on innovative, bleeding edge data science methodology using our state of the art, in-house big graph tool


Work closely with the developers of the (big graph) tool you will be using


Be a member of a very strong team with mathematicians, ex-Googlers, Ivy league professors, INSEAD alumni business people and telco industry experts


Startup atmosphere


Competitive salary


Stock options for employees


Opportunity to travel (South East Asia, US, Europe, ...)


Flexible working hours, family-friendly workplace"
2017-12-14 09:04:22.584659,c205fbae88ba84ea,Data Scientist,Gorilla Group Limited,"Central, Hong Kong Island",19 days ago,"Responsibilities:
"
2017-12-14 09:04:22.705737,4e7101f3e3f0ae5e,數據科學家 Data Scientist @ Terminal 1,Terminal 1,Hong Kong,29 days ago,"!! Apply at: tty1.us/tty1-inside !!
"
2017-12-14 09:04:22.826026,9861df5c80419dbe,Growth Hacking - Data Scientist,WHub,Hong Kong,30+ days ago,"Freelance


Anywhere


Growth Hacking


starting date : 2017-10-31


Switchback can not provide a visa.


Description


Data Scientist


We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our social media app. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.


Your goal will be to help our company analyze trends to make better decisions.


Responsibilities

Day to day, you will be working on algorithms and models through the design, prototyping, implementation and revisions. You will have freedom to try new ideas, experiment and communicate with the team
You will analyses the result of your models and making decisions. An important part of your role is assessing the business implications of your decisions. You will quickly have the power to make changes to the way we operate!
You will liaise with the rest of the business to communicate our actions and identify where the next opportunities lie. To be successful into the role, you will need to be able to communicate with multiple teams at different organizational levels.
Additionally you should:

o Identify valuable data sources and automate collection processes

o Undertake preprocessing of structured and unstructured data

o Analyze large amounts of information to discover trends and patterns

o Build predictive models and machine-learning algorithms

o Combine models through ensemble modeling

o Present information using data visualization techniques

o Propose solutions and strategies to business challenges

o Collaborate with engineering and product development teams
Work Experience, Skills and Education

Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
About Us


Switchback is an exciting geo-targeted social networking app that enables people to create meaningful relationships during their daily commute. With an advanced algorithm that matches people on key interest categories, Switchback enables them to connect/meet offline by attending recommended local events based on their common interests. Unlike other competitor apps, we aim to eliminate the number of fake profiles with the use of blockchain technology.


Salary

Equity part is negotiable.


Salary range / month : Negotiable


WHubber factors
Startups have different perks to offer to talent. Here is their allocation of 100 points.


Flexible Role and Responsibility


Impact on Society


Compensation


Flexible hours


Flexible location


Flexible hours30


Created on: 2017/10/07


about Switchback"
2017-12-14 09:04:22.949050,5b07ca7106d1973a,Data Management Specialist,AIA,Hong Kong,12 days ago,"Summary
The Data Management Specialist will be responsible for setting up best practices in building data infrastructure, identifying and improving data and quality gaps, creating sufficient algorithm, building decision making tools that help inform healthcare product design and managed care strategies and goals to achieve optimal use of data and timely transformation of actionable insights
THe incumbent will be responsible for driving the local adaption of the AIA health data strategy, empowering the market by identifying and mentoring the right talents, communicating insights to key stakeholders across different functions at Country and Group or externally with agents, governments and medical society through propoer channel
The Data Management Specilalist will work with cross-functional team at Group and country level and be responsible in managing local data management specialists on the technical aspects of their job

Key responsibilities
The successful candidate will build a robust data and reporting framework for AIA’s medical expense portfolio for both clinical and financial
Work alongside the Group functions, local business and healthcare strategy and management teams to develop best practices reporting framework
Collect data for delivering the standard reporting dashboards on a regular basis for key stakeholders and senior management at Group and local business level, reporting on key metrics and performance indicators relevant for health business
Coach local counterparts to identify ways on defining standards, methodology for the collection, analysis and reporting of data in a technologically constraint environment
Partner with EDW team to design and develop database structures for data analytics and data mining
Seek input from business users and IT to facilitate the development of front-end data analysis and tools for internal and external reporting including data visualization, dashboard creation, reporting generation (standardized and ad hoc) and enhancing reporting to create a 360-degree view of our members, providers and hospitals
Conduct regular trend analysis in healthcare and serve as a resources for sharing global best practices
Draw insights of structured analytics and reports to pinpoint the areas and symptoms of unnecessary or inappropriate medical spend, risk profiling of customers and providers, and area for potential fraud and abuse
Drive development, maintain and enhance Clinical database constituting data extracted from various internal / external data sources

Requirements
Passion for work with large and multiple data sets from various business processes and systems, using the power of data to support the business in achieving strategic objectives
Relevant experience in implementation of business intelligence and reporting framework to influence and drive management decisions and risk management practices
Bachelor or above degree in computer science, economics, physics, engineering, statistics or biostatistics, applied mathematics)
8+ years of data management and database development, analytical experiences a plus, with at least 5 years data management and/or related work experience in health insurance related industry in the capacity of data scientist
High degree of comfort manipulating and analyzing complex, high volume and high dimensionality data from various sources
Driven to discover unexpected patterns and insights by linking or integrating multiple systems and data sets to prepare for complex statistical analysis and predictive modeling in order to derive meaningful insights and actionable conclusions
Good understanding of design and architecture principles and also product development
Some knowledge of infrastructure for building an analytics application
Strong SQL programming skills are REQUIRED (Oracle / MSSQL preferred) and SAS programming skills are Desired
Demonstrated problem-solving skills, good organizational, interpersonal, and team skill
Ideal candidates will also demonstrate expertise with Microsoft Access, Excel, and/or VBA
Flexible and able to work in a dynamic environment and across cultures and willing and able to travel
Excellent verbal and written communication skills in English
Strong and effective interpersonal relationship skills"
2017-12-14 09:04:23.979015,10ec5e43ef03206f,Data Scientist,Spencer Ogden,Hong Kong,30+ days ago,"A very exciting opportunity has arisen for a Data Scientist to join one of the world's largest insurance companies. Responsibilities include applying analytical methods and algorithms to build data products that streamline the process from data collection to insight generation.


Our client is looking for a Data Scientist with a mix of good to strong machine learning and software engineering capabilities.


In the software engineering area, ideally the candidate should have good experience in R/Deep Learning/Neural Networks. In the software engineering area, good to strong knowledge in C/C++ and Python is required.


In order to communicate at all levels within the organisation, fluency in English & Cantonese is required.


For more information about this role please contact our Hong Kong office"
2017-12-14 09:04:24.103075,85b074614a520366,Scientific Officer/Research Officer,The University of Hong Kong 香港大學,"Pok Fu Lam, Hong Kong Island",30+ days ago,"In the 2016 Policy Address of the Chief Executive, it was proposed that Grantham Hospital (GH) be redeveloped as a free-standing academic ambulatory care centre with an emphasis on cancer services, which will form part of the significant undertaking by the Government, namely, a ‘Ten-year Blueprint for Hospital Development’. The establishment of the Centre for Clinical Innovation and Discovery (CCID) and Institute of Cancer Care (ICC), the first purpose-built cancer-specific research and service centre in the city by the Medical Faculty, HKU has been incorporated into the master plan of the GH development. They will serve as platforms for the translation of innovation and discoveries in science and in models of care for prevention, diagnosis, treatment rehabilitation and palliation, and for the development of a new holistic cancer care paradigm for Hong Kong.


Applications are invited for the appointment as Scientific Officer/Research Officer (holding the title of Bioinformatics Scientist) in the Li Ka Shing Faculty of Medicine , on a three-year fixed-term basis, with the possibility of renewal subject to funding availability and satisfactory performance.


Applicants should have a doctorate degree with at least 5 years’ full-time work experience, or a Master’s degree with at least 10 years’ full-time work experience. The academic degree should be in Bioinformatics, Biological Sciences, Computer Science or a related discipline, while work experience should involve solid hands-on analysis of high-throughput genomic data, particularly Next-Generation Sequencing (NGS) data. They should be familiar with Linux/UNIX environment, compute clusters, scripting in perl/python and have substantial experience in mining data from public databases (e.g. GenBank, Ensembl, UCSC, Swiss-Prot, COSMIC and etc.). A track record in supporting NGS data analysis for multiple research groups, including NGS analysis in clinical setting would be an advantage. Applicants should also possess effective communication skills, have a strong interest in working closely with biologists and clinicians, be highly motivated, innovative, independent, and able to perform in a multidisciplinary team environment and multitask. Those who have less experience/qualifications may be appointed as Research Officer.


The appointee will develop a NGS analysis pipeline for clinical application, provide bioinformatics support to researchers, provide technical consultations, conduct trainings, establish analysis pipelines and supervise junior staff members. Areas of bioinformatics support include but not limited to: transcriptomics, whole genome sequencing, targeted DNA sequencing, medical resequencing, epigenomics. He/She will have the opportunity to be exposed to a wide range of NGS applications and data analysis.


The appointee will join the GH redevelopment project team of the Faculty regarding the establishment of CCID. He/She will work and liaise closely with a wide range of internal and external stakeholders, supervise junior technical staff, and perform any other duties as assigned.


Shortlisted candidates will be invited to attend an interview.


A highly competitive salary commensurate with qualifications and experience will be offered. The appointment will attract a contract-end gratuity and University contribution to a retirement benefits scheme, totally up to 15% of basic salary, in addition to annual leave and medical benefits. Housing benefits will also be provided as applicable.


Applicants should send a completed application form together with an up-to-date C.V. to the Faculty at medhr2@hku.hk . Application forms (341/1111) can be downloaded at http://www.hku.hk/apptunit/form-ext.doc . Further particulars can be obtained at http://jobs.hku.hk . Review of applications will start from November 3, 2017 until December 31, 2017 or until the post is filled, whichever is earlier ."
